"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",5,-0.722162801553488,35,-0.854988247972511,NA,NA,NA,NA,239,5.47646355193151,455,6.12029741895095,87,"store","clouds"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",6,-0.355183841363345,96,0.499915091827628,206,5.32787616878958,206,5.32787616878958,211,5.35185813347607,211,5.35185813347607,103,"matter","flashlight"
"1","English",40,0.477242118731492,"Switch","Noncognate",5,-0.722162801553488,155,1.81039537130645,196,5.27811465923052,570,6.3456363608286,214,5.36597601502185,214,5.36597601502185,104,"tenté","potatoes"
"1","English",40,0.477242118731492,"Switch","Noncognate",7,0.0117951188267978,5,-1.52133415279225,225,5.41610040220442,754,6.62539236800796,207,5.33271879326537,207,5.33271879326537,90,"manière","French"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",10,1.11273199939723,49,-0.544026825723299,219,5.3890717298165,219,5.3890717298165,368,5.90808293816893,685,6.52941883826223,81,"historical","mission"
"1","English",40,0.477242118731492,"Switch","Noncognate",7,0.0117951188267978,89,0.344434380703022,203,5.31320597904179,203,5.31320597904179,191,5.25227342804663,191,5.25227342804663,92,"magasin","blanket"
"1","English",40,0.477242118731492,"Switch","Cognate",5,-0.722162801553488,7,-1.47691109247094,NA,NA,NA,NA,186,5.2257466737132,420,6.04025471127741,86,"année","province"
"1","English",40,0.477242118731492,"Switch","Cognate",5,-0.722162801553488,85,0.25558826006039,317,5.75890177387728,317,5.75890177387728,187,5.23110861685459,187,5.23110861685459,98,"monde","divorce"
"1","English",40,0.477242118731492,"Switch","Noncognate",7,0.0117951188267978,116,0.944145695040788,226,5.42053499927229,588,6.37672694789863,202,5.30826769740121,357,5.87773578177964,96,"écrites","lamb"
"1","English",40,0.477242118731492,"Switch","Cognate",6,-0.355183841363345,149,1.6771261903425,NA,NA,NA,NA,346,5.84643877505772,346,5.84643877505772,80,"livres","religion"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",9,0.745753039207084,60,-0.299699993956061,825,6.71538338633468,1625,7.39326309476384,208,5.33753807970132,208,5.33753807970132,105,"merciless","dragon"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",4,-1.08914176174363,79,0.122319079096442,279,5.63121178182137,279,5.63121178182137,210,5.34710753071747,210,5.34710753071747,91,"land","prince"
"1","English",40,0.477242118731492,"Switch","Cognate",11,1.47971095958737,121,1.05520334584408,313,5.74620319054015,510,6.23441072571837,283,5.64544689764324,283,5.64544689764324,102,"aventureuse","bikini"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",3,-1.45612072193377,32,-0.921622838454485,NA,NA,NA,NA,239,5.47646355193151,239,5.47646355193151,97,"sun","glacier"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",4,-1.08914176174363,140,1.47722241889658,NA,NA,NA,NA,246,5.50533153593236,246,5.50533153593236,89,"were","jungle"
"1","English",40,0.477242118731492,"Switch","Noncognate",9,0.745753039207084,20,-1.18816120038238,693,6.5410299991899,693,6.5410299991899,NA,NA,192,5.25749537202778,94,"inattendu","scream"
"1","English",40,0.477242118731492,"Switch","Cognate",5,-0.722162801553488,24,-1.09931507973975,389,5.96357934361845,389,5.96357934361845,NA,NA,972,6.87935580446044,82,"femme","potion"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",4,-1.08914176174363,84,0.233376729899732,NA,NA,NA,NA,265,5.57972982598622,265,5.57972982598622,85,"kill","radio"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",5,-0.722162801553488,158,1.87702996178843,139,4.93447393313069,139,4.93447393313069,191,5.25227342804663,191,5.25227342804663,83,"years","muscles"
"1","English",40,0.477242118731492,"Switch","Noncognate",9,0.745753039207084,30,-0.966045898775801,397,5.98393628068719,397,5.98393628068719,469,6.15060276844628,676,6.51619307604296,88,"personnes","castle"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",6,-0.355183841363345,78,0.100107548935784,NA,NA,NA,NA,177,5.17614973257383,316,5.75574221358691,89,"friend","bubble"
"1","English",40,0.477242118731492,"Switch","Noncognate",13,2.21366887996766,144,1.56606853953921,408,6.01126717440416,589,6.37842618365159,268,5.59098698051086,268,5.59098698051086,80,"photographies","mountain"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",4,-1.08914176174363,27,-1.03268048925778,273,5.60947179518496,273,5.60947179518496,NA,NA,270,5.59842195899838,83,"done","players"
"1","English",40,0.477242118731492,"Switch","Noncognate",5,-0.722162801553488,70,-0.0775846923494806,NA,NA,NA,NA,282,5.64190707093811,282,5.64190707093811,86,"année","mushroom"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",6,-0.355183841363345,104,0.677607333112892,206,5.32787616878958,206,5.32787616878958,241,5.48479693349065,241,5.48479693349065,105,"ruined","sandal"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",4,-1.08914176174363,39,-0.766142127329879,NA,NA,NA,NA,408,6.01126717440416,408,6.01126717440416,87,"look","fruits"
"1","English",40,0.477242118731492,"Switch","Cognate",9,0.745753039207084,139,1.45501088873592,205,5.32300997913841,586,6.37331978957701,452,6.11368217983223,452,6.11368217983223,104,"différent","oranges"
"1","English",40,0.477242118731492,"Switch","Cognate",6,-0.355183841363345,25,-1.07710354957909,1322,7.18690102041163,1322,7.18690102041163,392,5.97126183979046,392,5.97126183979046,88,"étudié","statue"
"1","English",40,0.477242118731492,"Switch","Cognate",5,-0.722162801553488,13,-1.34364191150699,285,5.65248918026865,285,5.65248918026865,221,5.39816270151775,221,5.39816270151775,94,"temps","secret"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",10,1.11273199939723,88,0.322222850542364,285,5.65248918026865,285,5.65248918026865,234,5.4553211153577,234,5.4553211153577,97,"historical","mammoth"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",6,-0.355183841363345,67,-0.144219282831455,NA,NA,NA,NA,216,5.37527840768417,216,5.37527840768417,93,"forest","reptile"
"1","English",40,0.477242118731492,"Nonswitch","Cognate",9,0.745753039207084,160,1.92145302210974,201,5.30330490805908,201,5.30330490805908,224,5.41164605185504,224,5.41164605185504,79,"extremely","missile"
"1","English",40,0.477242118731492,"Switch","Noncognate",8,0.378774079016941,156,1.83260690146711,248,5.51342874616498,248,5.51342874616498,195,5.27299955856375,195,5.27299955856375,98,"décision","wedding"
"1","English",40,0.477242118731492,"Nonswitch","Noncognate",11,1.47971095958737,146,1.61049159986053,200,5.29831736654804,200,5.29831736654804,285,5.65248918026865,285,5.65248918026865,79,"uncertainty","witness"
