"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",10,1.13742247335589,138,1.50839412292724,224,5.41164605185504,569,6.34388043412633,187,5.23110861685459,187,5.23110861685459,50,"surprendre","card"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",5,-0.733132579380266,47,-0.542775285586948,NA,NA,NA,NA,215,5.37063802812766,215,5.37063802812766,47,"house","book"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",7,0.0150894417141963,56,-0.339912377052578,364,5.89715386763674,364,5.89715386763674,443,6.09356977004514,443,6.09356977004514,48,"mauvais","soap"
"1","English",40,0.484629929051245,"Switch","Homograph",7,0.0150894417141963,119,1.08012798268801,219,5.3890717298165,627,6.44094654063292,242,5.48893772615669,639,6.45990445437753,58,"magasin","dresser"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",10,1.13742247335589,72,0.0207327936751911,408,6.01126717440416,408,6.01126717440416,NA,NA,NA,NA,57,"complaints","trash"
"1","English",40,0.484629929051245,"Switch","Homograph",5,-0.733132579380266,113,0.944886043665099,222,5.40267738187228,222,5.40267738187228,NA,NA,NA,NA,66,"ordre","pile"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",4,-1.1072435899275,110,0.877265074153642,178,5.18178355029209,178,5.18178355029209,277,5.62401750618734,277,5.62401750618734,73,"list","leash"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",7,0.0150894417141963,10,-1.37676724289491,NA,NA,NA,NA,246,5.50533153593236,246,5.50533153593236,53,"warning","camp"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",10,1.13742247335589,166,2.13952317170083,237,5.46806014113513,237,5.46806014113513,200,5.29831736654804,200,5.29831736654804,71,"reasonable","ton"
"1","English",40,0.484629929051245,"Switch","Homograph",6,-0.359021568833035,105,0.764563458301214,258,5.55295958492162,430,6.06378520868761,326,5.78689738136671,595,6.38856140554563,44,"soleil","court"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",8,0.389200452261428,22,-1.10628336484909,251,5.52545293913178,251,5.52545293913178,239,5.47646355193151,239,5.47646355193151,62,"conseils","fiddle"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",15,3.00797752609205,29,-0.948501102655687,683,6.52649485957079,683,6.52649485957079,NA,NA,387,5.95842469302978,52,"avait besoin de","corn"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",7,0.0150894417141963,132,1.37315218390432,323,5.77765232322266,323,5.77765232322266,223,5.40717177146012,223,5.40717177146012,69,"believe","timbre"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",4,-1.1072435899275,2,-1.5570898282588,192,5.25749537202778,192,5.25749537202778,242,5.48893772615669,242,5.48893772615669,51,"fear","paw"
"1","English",40,0.484629929051245,"Switch","Homograph",6,-0.359021568833035,136,1.46331347658627,506,6.22653666928747,506,6.22653666928747,178,5.18178355029209,178,5.18178355029209,68,"aimait","rose"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",5,-0.733132579380266,118,1.05758765951753,NA,NA,NA,NA,NA,NA,146,4.98360662170834,66,"temps","tent"
"1","English",40,0.484629929051245,"Switch","Homograph",7,0.0150894417141963,55,-0.362452700223063,443,6.09356977004514,1106,7.00850518208228,233,5.4510384535657,410,6.01615715969835,62,"suivant","manger"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",13,2.25975550499758,134,1.4182328302453,757,6.62936325343745,757,6.62936325343745,168,5.12396397940326,676,6.51619307604296,67,"laughingstock","roman"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",9,0.763311462808659,61,-0.22721076120015,247,5.50938833662798,247,5.50938833662798,NA,NA,NA,NA,53,"suggested","lice"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",8,0.389200452261428,82,0.246136025380047,222,5.40267738187228,222,5.40267738187228,NA,NA,NA,NA,63,"setbacks","dig"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",5,-0.733132579380266,44,-0.610396255098404,NA,NA,NA,NA,168,5.12396397940326,168,5.12396397940326,43,"bored","tune"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",5,-0.733132579380266,52,-0.43007366973452,69,4.23410650459726,352,5.8636311755981,NA,NA,NA,NA,43,"liked","chat"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",4,-1.1072435899275,115,0.98996669000607,NA,NA,NA,NA,162,5.08759633523238,391,5.96870755998537,73,"skin","rayon"
"1","English",40,0.484629929051245,"Switch","Homograph",9,0.763311462808659,73,0.0432731168456767,208,5.33753807970132,208,5.33753807970132,NA,NA,231,5.44241771052179,74,"plus tard","sale"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",13,2.25975550499758,102,0.696942488789758,277,5.62401750618734,664,6.49828214947643,270,5.59842195899838,270,5.59842195899838,44,"connaissaient","hotel"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",7,0.0150894417141963,50,-0.475154316075491,NA,NA,NA,NA,219,5.3890717298165,219,5.3890717298165,51,"watched","fin"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",4,-1.1072435899275,148,1.73379735463209,185,5.22035582507832,185,5.22035582507832,283,5.64544689764324,283,5.64544689764324,71,"have","sip"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",9,0.763311462808659,65,-0.137049468518208,179,5.18738580584075,179,5.18738580584075,216,5.37527840768417,216,5.37527840768417,49,"carefully","dent"
"1","English",40,0.484629929051245,"Switch","Homograph",5,-0.733132579380266,71,-0.00180752949529442,NA,NA,379,5.93753620508243,212,5.35658627467201,212,5.35658627467201,70,"bonne","vest"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",8,0.389200452261428,16,-1.241525303872,241,5.48479693349065,443,6.09356977004514,NA,NA,411,6.01859321449623,58,"vacances","penguin"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",9,0.763311462808659,93,0.494079580255388,392,5.97126183979046,392,5.97126183979046,322,5.77455154554441,322,5.77455154554441,65,"exemplary","parole"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",5,-0.733132579380266,150,1.77887800097306,172,5.14749447681345,172,5.14749447681345,184,5.21493575760899,184,5.21493575760899,47,"hours","cent"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",7,0.0150894417141963,62,-0.204670438029664,371,5.91620206260743,371,5.91620206260743,526,6.26530121273771,526,6.26530121273771,54,"recette","boar"
"1","English",40,0.484629929051245,"Switch","Homograph",6,-0.359021568833035,161,2.02682155584841,1046,6.95272864462487,1046,6.95272864462487,392,5.97126183979046,565,6.33682573114644,46,"choses","lever"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",6,-0.359021568833035,114,0.967426366835584,231,5.44241771052179,231,5.44241771052179,294,5.68357976733868,294,5.68357976733868,61,"person","tenant"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",7,0.0150894417141963,45,-0.587855931927919,217,5.37989735354046,217,5.37989735354046,NA,NA,NA,NA,57,"worried","venue"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",4,-1.1072435899275,137,1.48585379975675,NA,NA,153,5.03043792139244,NA,NA,NA,NA,70,"bien","tire"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",4,-1.1072435899275,42,-0.655476901439375,221,5.39816270151775,221,5.39816270151775,193,5.26269018890489,193,5.26269018890489,45,"time","teeth"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",11,1.51153348390312,109,0.854724750983156,206,5.32787616878958,530,6.27287700654617,NA,NA,NA,NA,46,"se plaindre","couch"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",8,0.389200452261428,120,1.1026683058585,201,5.30330490805908,201,5.30330490805908,238,5.47227067367148,238,5.47227067367148,45,"prepared","lance"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",8,0.389200452261428,68,-0.0694284990067511,353,5.8664680569333,769,6.64509096950564,NA,NA,NA,NA,68,"aimaient","duck"
"1","English",40,0.484629929051245,"Switch","Homograph",7,0.0150894417141963,97,0.58424087293733,423,6.04737217904628,423,6.04737217904628,252,5.52942908751142,575,6.35437004079735,56,"journée","rider"
"1","English",40,0.484629929051245,"Nonswitch","Homograph",6,-0.359021568833035,1,-1.57963015142928,306,5.72358510195238,306,5.72358510195238,184,5.21493575760899,694,6.5424719605068,55,"heathy","raisin"
"1","English",40,0.484629929051245,"Switch","Homograph",10,1.13742247335589,15,-1.26406562704249,440,6.08677472691231,440,6.08677472691231,NA,NA,NA,NA,54,"grand-mère","loin"
"1","English",40,0.484629929051245,"Switch","Homograph",12,1.88564449445035,83,0.268676348550532,385,5.95324333428778,385,5.95324333428778,238,5.47227067367148,238,5.47227067367148,72,"correctement","vent"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",8,0.389200452261428,128,1.28299089122238,164,5.0998664278242,164,5.0998664278242,NA,NA,NA,NA,65,"complain","fleece"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",3,-1.48135460047473,48,-0.520234962416462,NA,NA,NA,NA,NA,NA,NA,NA,59,"bad","broth"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",4,-1.1072435899275,126,1.23791024488141,302,5.71042701737487,302,5.71042701737487,208,5.33753807970132,208,5.33753807970132,74,"idée","dare"
"1","English",40,0.484629929051245,"Switch","Nonhomograph",9,0.763311462808659,142,1.59855541560918,753,6.62406522779989,753,6.62406522779989,308,5.73009978297357,421,6.04263283368238,60,"en manque","jingle"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",9,0.763311462808659,153,1.84649897048452,156,5.04985600724954,243,5.49306144334055,196,5.27811465923052,196,5.27811465923052,55,"favourite","shrimp"
"1","English",40,0.484629929051245,"Switch","Homograph",7,0.0150894417141963,0,-1.60217047459977,1369,7.22183582528845,1369,7.22183582528845,337,5.82008293035236,337,5.82008293035236,50,"préparé","file"
"1","English",40,0.484629929051245,"Nonswitch","Nonhomograph",6,-0.359021568833035,6,-1.46692853557686,153,5.03043792139244,153,5.03043792139244,174,5.15905529921453,446,6.10031895202006,67,"health","drunk"
